hanzi,pinyin,levels,entryIds,file,bytes,status,source,sourceUrl,sourceUrls,license,qualityNote
…分之…,fēn zhī,4,2487,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-…分之….mp3,17350,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-fen1.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-zhi1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
…极了,jí le,3,1590,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-…极了.mp3,18184,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-ji2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-le1.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一,yī,1,254,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一.mp3,7940,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80.mp3,,CC-BY-SA,
一下儿,yí xià r,1 5,434 4138,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一下儿.mp3,8776,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E4%B8%8B%E5%84%BF.mp3,,CC-BY-SA,
一下子,yí xià zi,5,4139,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一下子.mp3,11074,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E4%B8%8B%E5%AD%90.mp3,,CC-BY-SA,
一些,yì xiē,1,262,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一些.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E4%BA%9B.mp3,,CC-BY-SA,
一代,yí dài,5,3353,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一代.mp3,17348,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-dai4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一会儿,yí huì r,2,471,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一会儿.mp3,9612,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E4%BC%9A%E5%84%BF.mp3,,CC-BY-SA,
一共,yí gòng,3,923,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一共.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%85%B1.mp3,,CC-BY-SA,
一再,yí zài,6,5156,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一再.mp3,10030,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%86%8D.mp3,,CC-BY-SA,
一切,yí qiè,4,1865,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一切.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%88%87.mp3,,CC-BY-SA,
一半,yí bàn,1,258,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一半.mp3,10239,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%8D%8A.mp3,,CC-BY-SA,
一口气,yì kǒu qì,6,5165,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一口气.mp3,10656,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%8F%A3%E6%B0%94.mp3,,CC-BY-SA,
一句话,yí jù huà,5,4136,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一句话.mp3,25916,generated,audio-cmn-syllable-concat,,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-yi2.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-jv4.mp3 https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/syllabs/cmn-hua4.mp3,CC-BY-SA,Generated by concatenating syllable recordings; less natural than native word audio.
一同,yì tóng,6,5171,/mnt/c/Users/tiago/Desktop/git/zou-ba/assets/audio/hsk/cmn-一同.mp3,11492,exists,audio-cmn,https://raw.githubusercontent.com/hugolpz/audio-cmn/master/64k/hsk/cmn-%E4%B8%80%E5%90%8C.mp3,,CC-BY-SA,
