id,hsk_level,hanzi,pinyin,english_translation,detailed_english_translation
1,1,爱,ài,love,"Used to talk about loving or liking someone or something deeply. It can describe romantic love, affection, or being very fond of something."
2,1,八,bā,eight,"The number eight."
3,1,爸爸,bàba,dad,"An informal and affectionate way to say 'father,' similar to 'dad' in English."
4,1,吧,ba,sentence-final particle,"When placed at the end of a sentence, it usually softens a suggestion, request, or guess. Its exact tone depends on the context."
5,1,白天,báitiān,daytime,"Means 'daytime' and refers to the part of the day when it is light outside, as opposed to night."
6,1,百,bǎi,hundred,"The number one hundred. It can also be used more loosely to suggest a large amount."
7,1,半,bàn,half,"Means 'half' or one of two equal parts. After a number, it can also mean 'and a half.'"
8,1,包子,bāozi,steamed bun,"A steamed bun, usually with some kind of filling inside."
9,1,杯子,bēizi,cup,"Means 'cup' and usually refers to a drinking cup or glass."
10,1,本,běn,measure word for books,"A measure word used for books, magazines, notebooks, and other bound items."
11,1,边,biān,side,"Usually means 'side' or 'edge.' It can also refer more generally to an area next to something."
12,1,病,bìng,illness,"Usually means 'illness' or 'disease.' As a verb, it can also mean to become sick."
13,1,不,bù,not,"The basic negative word in Mandarin. It is used to make verbs and adjectives negative."
14,1,不客气,bú kèqi,you're welcome,"A polite reply meaning 'you're welcome' or 'don't mention it.' It is also used literally to mean 'don't be polite.'"
15,1,不要,búyào,don't,"Used to tell someone not to do something. It can also mean 'do not want' depending on the context."
16,1,菜,cài,dish,"Usually means a dish of food or a vegetable, depending on the context."
17,1,茶,chá,tea,"Means 'tea,' either the drink itself or tea as a type of plant."
18,1,唱,chàng,sing,"Usually means 'to sing.' It can also describe chanting or singing out loud."
19,1,超市,chāoshì,supermarket,"Refers to a supermarket or large self-service grocery store."
20,1,车,chē,car,"Usually means 'car' or 'vehicle.' In many contexts, it can refer to vehicles more generally."
21,1,吃,chī,eat,"Usually means 'to eat' or 'to have food.' In some contexts, it can also mean to consume or take in something."
22,1,出租车,chūzūchē,taxi,"Refers to a taxi or cab."
23,1,穿,chuān,wear,"Usually means 'to wear' clothes, shoes, or accessories. It can also mean to put them on."
24,1,打电话,dǎ diànhuà,make a phone call,"Means 'to make a phone call' or 'to call someone on the phone.'"
25,1,大,dà,big,"Means 'big' or 'large.' It can describe size, age, importance, or degree."
26,1,大家,dàjiā,everyone,"Means 'everyone' or 'everybody' when talking about all the people in a group."
27,1,大学,dàxué,university,"Refers to a university or college."
28,1,大学生,dàxuéshēng,university student,"Refers to a university or college student."
29,1,到,dào,arrive,"Usually means 'to arrive' or 'to reach.' It is also used to mark an endpoint in time or space."
30,1,的,de,possessive particle,"Usually links a modifier to a noun, often like 'of' or the English possessive ending. It is one of the most common grammar particles in Chinese."
31,1,第,dì,ordinal prefix,"Placed before a number to form an ordinal expression such as 'first,' 'second,' or 'third.'"
32,1,弟弟,dìdi,younger brother,"Refers to a younger brother."
33,1,点,diǎn,o'clock,"Often means 'o'clock' when telling time. In other contexts, it can also mean a point, spot, or small amount."
34,1,店,diàn,shop,"Refers to a shop, store, or business."
35,1,电话,diànhuà,phone,"Means 'telephone' or 'phone call,' depending on the context."
36,1,电脑,diànnǎo,computer,"Refers to a computer."
37,1,电视,diànshì,television,"Means 'television' or 'TV.'"
38,1,电影,diànyǐng,movie,"Refers to a movie or film."
39,1,电影院,diànyǐngyuàn,cinema,"Refers to a cinema or movie theater."
40,1,东西,dōngxi,thing,"A general word for a thing, object, or stuff."
41,1,都,dōu,all,"Usually means 'all' or 'both.' It is used to include every person or thing in a group."
42,1,读,dú,read,"Usually means 'to read.' It can also mean to study or pronounce written words."
43,1,读书,dúshū,study,"Usually means 'to study' or 'to attend school.' Literally, it can also mean 'to read books.'"
44,1,对,duì,right,"Means 'right' or 'correct.' In other contexts, it can also mean 'toward' or 'facing.'"
45,1,对不起,duìbuqǐ,I'm sorry,"A common way to say 'I'm sorry' or 'excuse me.' It is used for apologies and polite interruption."
46,1,多,duō,many,"Usually means 'many' or 'much.' It can also mean 'more' when making comparisons."
47,1,多少,duōshao,how much,"Used to ask 'how much' or 'how many.' In some contexts, it can also refer to an unspecified amount."
48,1,儿子,érzi,son,"Refers to a son."
49,1,二,èr,two,"The number two."
50,1,饭,fàn,meal,"Usually means a meal or cooked rice. In everyday use, it often refers to food more generally."
51,1,饭店,fàndiàn,restaurant,"Usually means a restaurant. In some contexts, it can also refer to a hotel."
52,1,房间,fángjiān,room,"Refers to a room."
53,1,非常,fēicháng,very,"Means 'very' or 'extremely.' It is used to strengthen an adjective or verb."
54,1,飞机,fēijī,airplane,"Refers to an airplane or aircraft."
55,1,分,fēn,point,"Usually means a point, minute, part, or fraction, depending on the context. As a verb, it can also mean 'to divide' or 'to separate.'"
56,1,分钟,fēnzhōng,minute,"Means 'minute' as a unit of time."
57,1,高兴,gāoxìng,happy,"Means 'happy' or 'glad.' It describes feeling pleased or cheerful."
58,1,歌,gē,song,"Means 'song.' In some contexts, it can also refer to singing."
59,1,哥哥,gēge,older brother,"Refers to an older brother."
60,1,个,gè,general measure word,"A very common general measure word used with many nouns, especially when counting people or everyday objects."
61,1,给,gěi,give,"Usually means 'to give.' It can also be used before another noun or verb to express 'for' or 'to' in everyday speech."
62,1,公司,gōngsī,company,"Refers to a company or business."
63,1,工作,gōngzuò,work,"Can mean 'work' as a job or task. As a verb, it also means 'to work.'"
64,1,狗,gǒu,dog,"Refers to a dog."
65,1,贵,guì,expensive,"Usually means 'expensive.' In polite expressions, it can also add respect, as in asking someone's surname."
66,1,国,guó,country,"Means 'country' or 'nation.'"
67,1,还,hái,still,"Often means 'still' or 'yet,' showing that something continues or has not happened up to now. In some contexts, it can also mean 'also' or 'in addition.'"
68,1,孩子,háizi,child,"Refers to a child or kid."
69,1,汉语,Hànyǔ,Chinese,"Refers to the Chinese language, especially Mandarin Chinese in many learning contexts."
70,1,汉字,Hànzì,Chinese character,"Refers to a Chinese written character."
71,1,好,hǎo,good,"Usually means 'good' or 'well.' It can also show that something is suitable, easy, or ready to do."
72,1,好吃,hǎochī,tasty,"Means 'tasty' or 'delicious.' It describes food that tastes good."
73,1,好看,hǎokàn,good-looking,"Can mean 'good-looking' for people or 'nice to watch or read' for things like movies or books."
74,1,好听,hǎotīng,pleasant to hear,"Means 'pleasant to hear.' It describes sounds, music, or words that sound nice."
75,1,好玩儿,hǎowánr,fun,"Means 'fun' or 'interesting.' It describes something enjoyable to play with or experience."
76,1,号,hào,number,"Usually means 'number.' It can also refer to a date, size, or label depending on the context."
77,1,喝,hē,drink,"Usually means 'to drink.'"
78,1,和,hé,and,"Usually means 'and' when connecting words or phrases. In some contexts, it can also mean 'with.'"
79,1,很,hěn,very,"Usually means 'very' and is often used before adjectives. In Chinese, it can also appear in simple descriptive sentences where English would not always use 'very.'"
80,1,后,hòu,after,"Means 'after,' 'later,' or 'behind,' depending on the context."
81,1,回,huí,return,"Usually means 'to return' or 'to go back.' It can also be used as a measure word for repeated actions."
82,1,会,huì,can,"Usually means 'can' or 'to know how to,' showing ability or learned skill. In other contexts, it can also refer to a meeting or suggest something is likely."
83,1,火车,huǒchē,train,"Refers to a train."
84,1,鸡蛋,jīdàn,egg,"Usually means a chicken egg."
85,1,几,jǐ,how many,"Used to ask 'how many' or 'how much.' It can also mean 'a few' or 'several' in some contexts."
86,1,家,jiā,home,"Usually means 'home' or 'family.' It can also be used as a measure word for households or businesses, and as a suffix for specialists."
87,1,家人,jiārén,family,"Refers to family members or one's family."
88,1,见,jiàn,see,"Usually means 'to see' or 'to meet.' In many common phrases, it refers to catching sight of someone or something."
89,1,件,jiàn,measure word for items,"A measure word used for clothing, matters, and many individual items."
90,1,饺子,jiǎozi,dumplings,"Refers to Chinese dumplings."
91,1,叫,jiào,be called,"Often means 'to be called' when giving a name. It can also mean 'to call out,' 'to ask,' or 'to order.'"
92,1,姐姐,jiějie,older sister,"Refers to an older sister."
93,1,今年,jīnnián,this year,"Means 'this year.'"
94,1,今天,jīntiān,today,"Means 'today.'"
95,1,九,jiǔ,nine,"The number nine."
96,1,觉得,juéde,feel,"Usually means 'to feel' or 'to think.' It is often used for personal opinions or impressions."
97,1,开,kāi,open,"Usually means 'to open' or 'to turn on.' It can also mean to start, operate, or drive, depending on the context."
98,1,开车,kāichē,drive,"Means 'to drive' or 'to drive a car.'"
99,1,看,kàn,look,"Usually means 'to look,' 'to watch,' or 'to read,' depending on what follows. It can also mean to visit or examine."
100,1,看病,kànbìng,see a doctor,"Means 'to see a doctor' or 'to get medical treatment.'"
101,1,看见,kànjiàn,see,"Means 'to see' or 'to catch sight of' something."
102,1,可以,kěyǐ,can,"Usually means 'can' or 'may,' expressing ability, permission, or possibility. It can also mean something is acceptable or fine."
103,1,课,kè,class,"Usually means a class, lesson, or course."
104,1,口,kǒu,mouth,"Usually means 'mouth.' It can also be used as a measure word for people, animals, or things with openings."
105,1,块,kuài,piece,"Usually means a piece, chunk, or lump of something. In everyday speech, it is also used for amounts of money like yuan."
106,1,来,lái,come,"Usually means 'to come' or 'to arrive.' It can also point to a future action or suggest that something is beginning."
107,1,老师,lǎoshī,teacher,"Refers to a teacher."
108,1,了,le,aspect particle,"Often marks a completed action or a change of situation. Its exact meaning depends on where it appears in the sentence."
109,1,冷,lěng,cold,"Means 'cold.' It can describe temperature, weather, or a cold feeling."
110,1,里,lǐ,inside,"Means 'inside' or 'in.' It refers to the interior of a place, area, or container."
111,1,两,liǎng,two,"The number two. In everyday Mandarin, it is often used instead of 二 before measure words and many nouns."
112,1,零,líng,zero,"The number zero."
113,1,六,liù,six,"The number six."
114,1,妈妈,māma,mom,"An informal and affectionate way to say 'mother,' similar to 'mom' in English."
115,1,吗,ma,question particle,"Placed at the end of a statement to turn it into a yes-no question."
116,1,买,mǎi,buy,"Means 'to buy' or 'to purchase.'"
117,1,卖,mài,sell,"Means 'to sell.'"
118,1,忙,máng,busy,"Means 'busy.' It can describe a person who has a lot to do or is occupied."
119,1,猫,māo,cat,"Refers to a cat."
120,1,没关系,méi guānxi,no problem,"A common way to say 'it's okay,' 'never mind,' or 'no problem.'"
121,1,没事,méishì,it's okay,"A common way to say 'it's okay,' 'it's nothing,' or 'never mind.' It can also literally mean that nothing is wrong or that someone is free."
122,1,没有,méiyǒu,not have,"Means 'to not have' or 'there is not.' It is also commonly used to say that something did not happen."
123,1,妹妹,mèimei,younger sister,"Refers to a younger sister."
124,1,们,men,plural suffix,"Added after pronouns and some words for people to show a plural meaning, like '-s' in English."
125,1,米饭,mǐfàn,cooked rice,"Refers to cooked rice served as food."
126,1,面包,miànbāo,bread,"Refers to bread."
127,1,面条儿,miàntiáor,noodles,"Refers to noodles."
128,1,明年,míngnián,next year,"Means 'next year.'"
129,1,明天,míngtiān,tomorrow,"Means 'tomorrow.'"
